[2023-04-20T15:38:22.752] [FATAL] POST - Remote: undefined, path: /api/auth/login
[2023-04-20T15:38:25.122] [FATAL] GET - Remote: undefined, path: /api/cat
[2023-04-20T15:38:32.832] [FATAL] GET - Remote: undefined, path: /api/cat/path
[2023-04-20T15:38:32.853] [FATAL] GET - Remote: undefined, path: /api/cat/85
[2023-04-20T15:38:34.583] [FATAL] GET - Remote: undefined, path: /api/cat
[2023-04-20T15:41:29.655] [FATAL] POST - Remote: http://localhost:3000, path: /api/cat
[2023-04-20T15:41:29.771] [FATAL] GET - Remote: http://localhost:3000, path: /api/cat
[2023-04-20T15:41:32.061] [FATAL] GET - Remote: undefined, path: /api/cat/87
[2023-04-20T15:41:32.168] [FATAL] GET - Remote: undefined, path: /static/png/m.jpg
[2023-04-20T15:41:32.621] [FATAL] GET - Remote: undefined, path: /api/cat/path
[2023-04-20T15:41:35.363] [FATAL] GET - Remote: undefined, path: /api/cat
[2023-04-20T15:41:44.243] [FATAL] POST - Remote: http://localhost:3000, path: /api/cat
[2023-04-20T15:41:44.336] [FATAL] GET - Remote: http://localhost:3000, path: /api/cat
[2023-04-20T15:41:45.628] [FATAL] GET - Remote: undefined, path: /api/cat/88
[2023-04-20T15:41:46.298] [FATAL] GET - Remote: undefined, path: /api/cat/path
[2023-04-20T15:41:47.870] [FATAL] GET - Remote: undefined, path: /api/cat
[2023-04-20T15:44:35.056] [FATAL] GET - Remote: undefined, path: /apis/
[2023-04-20T15:44:35.093] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui.css
[2023-04-20T15:44:35.104] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-bundle.js
[2023-04-20T15:44:35.108] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-standalone-preset.js
[2023-04-20T15:44:35.147] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-init.js
[2023-04-20T15:48:14.954] [FATAL] GET - Remote: undefined, path: /apis/
[2023-04-20T15:48:14.991] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui.css
[2023-04-20T15:48:14.998] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-bundle.js
[2023-04-20T15:48:15.004] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-standalone-preset.js
[2023-04-20T15:48:15.049] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-init.js
[2023-04-20T15:48:42.058] [FATAL] GET - Remote: undefined, path: /apis/
[2023-04-20T15:48:42.093] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui.css
[2023-04-20T15:48:42.096] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-bundle.js
[2023-04-20T15:48:42.100] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-standalone-preset.js
[2023-04-20T15:48:42.102] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-init.js
[2023-04-20T15:48:42.541] [FATAL] GET - Remote: undefined, path: /apis/favicon-32x32.png
[2023-04-20T15:50:04.432] [FATAL] GET - Remote: undefined, path: /apis/
[2023-04-20T15:50:04.471] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui.css
[2023-04-20T15:50:04.477] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-bundle.js
[2023-04-20T15:50:04.486] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-standalone-preset.js
[2023-04-20T15:50:04.491] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-init.js
[2023-04-20T15:50:04.861] [FATAL] GET - Remote: undefined, path: /apis/favicon-32x32.png
[2023-04-20T15:50:33.481] [FATAL] GET - Remote: undefined, path: /apis/
[2023-04-20T15:50:33.514] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui.css
[2023-04-20T15:50:33.521] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-bundle.js
[2023-04-20T15:50:33.526] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-standalone-preset.js
[2023-04-20T15:50:33.528] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-init.js
[2023-04-20T15:50:33.892] [FATAL] GET - Remote: undefined, path: /apis/favicon-32x32.png
[2023-04-20T15:50:58.446] [FATAL] POST - Remote: http://localhost:4000, path: /api/auth/login
[2023-04-20T15:51:36.372] [FATAL] POST - Remote: http://localhost:4000, path: /api/cat
[2023-04-20T15:51:49.469] [FATAL] GET - Remote: undefined, path: /api/cat
[2023-04-20T15:52:35.127] [FATAL] POST - Remote: http://localhost:4000, path: /api/cat
[2023-04-20T15:52:45.720] [FATAL] GET - Remote: undefined, path: /api/cat
[2023-04-20T15:54:32.130] [FATAL] GET - Remote: undefined, path: /apis/
[2023-04-20T15:54:32.215] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui.css
[2023-04-20T15:54:32.219] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-bundle.js
[2023-04-20T15:54:32.246] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-standalone-preset.js
[2023-04-20T15:54:32.251] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-init.js
[2023-04-20T15:54:32.922] [FATAL] GET - Remote: undefined, path: /apis/favicon-32x32.png
[2023-04-20T15:54:49.999] [FATAL] POST - Remote: http://localhost:4000, path: /api/auth/login
[2023-04-20T15:55:36.190] [FATAL] POST - Remote: http://localhost:4000, path: /api/cat
[2023-04-20T15:55:41.945] [FATAL] GET - Remote: undefined, path: /api/cat
